file,classifications.background.time,classifications.background.count,classifications.SupportedRear.time,classifications.SupportedRear.count,classifications.Grooming.time,classifications.Grooming.count,classifications.UnsupportedRear.time,classifications.UnsupportedRear.count,bodycentre.raw.distance,bodycentre.distance.moving,bodycentre.raw.speed,bodycentre.speed.moving,bodycentre.time.moving,bodycentre.total.time,bodycentre.time.stationary,bodycentre.percentage.moving,bodycentre.center.raw.distance,bodycentre.center.distance.moving,bodycentre.center.raw.speed,bodycentre.center.speed.moving,bodycentre.center.time.moving,bodycentre.center.total.time,bodycentre.center.time.stationary,bodycentre.center.percentage.moving,bodycentre.center.transitions,bodycentre.periphery.raw.distance,bodycentre.periphery.distance.moving,bodycentre.periphery.raw.speed,bodycentre.periphery.speed.moving,bodycentre.periphery.time.moving,bodycentre.periphery.total.time,bodycentre.periphery.time.stationary,bodycentre.periphery.percentage.moving,bodycentre.periphery.transitions,bodycentre.corners.raw.distance,bodycentre.corners.distance.moving,bodycentre.corners.raw.speed,bodycentre.corners.speed.moving,bodycentre.corners.time.moving,bodycentre.corners.total.time,bodycentre.corners.time.stationary,bodycentre.corners.percentage.moving,bodycentre.corners.transitions
74_02_A_250702140706DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,439.76,113,117.8,79,14.52,14,20.32,25,4956.639483,4109.488784,8.355764469,13.58778199,302.44,593.2,290.76,50.9844909,584.1807536,565.8891223,17.30393227,21.30606635,26.56,33.76,7.2,78.67298578,54,3143.674402,2438.582353,7.047333218,11.94446686,204.16,446.08,241.92,45.76757532,102,1478.910139,1046.070156,5.946084509,10.52384463,99.4,248.72,149.32,39.96461885,131
73_01_A_250702140513DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,451,120,125.56,104,13.88,10,2.6,7,8883.112791,8313.354963,14.95876463,20.46414672,406.24,593.84,187.6,68.40899906,1409.971052,1401.121626,27.66819176,29.23876515,47.92,50.96,3.04,94.03453689,126,5347.83895,4816.994388,11.821041,17.29993675,278.44,452.4,173.96,61.54730327,196,2455.431774,2067.229944,8.860536136,13.61094248,151.88,277.12,125.24,54.80658199,265
72_04_A_250702140607DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,469.4,101,107.12,85,7.12,6,8.56,17,8662.025944,8220.767299,14.60712638,17.72939807,463.68,593,129.32,78.19224283,1498.12751,1474.946009,19.68112862,21.09476557,69.92,76.12,6.2,91.85496584,150,4425.608134,4095.392268,12.39805058,15.76120793,259.84,356.96,97.12,72.79246974,211,2013.91709,1769.117677,9.44082641,12.65463288,139.8,213.32,73.52,65.53534596,228
71_03_A_250702134858DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,439.48,108,131.24,90,17.16,10,4.68,8,5744.037125,5031.425022,9.680526366,13.95447366,360.56,593.36,232.8,60.76580828,786.5714919,760.5735094,16.23805722,19.76542384,38.48,48.44,9.96,79.43848059,70,3538.363015,2982.333199,8.550074944,12.43260463,239.88,413.84,173.96,57.9644307,126,1815.933277,1404.763091,6.6713199,10.28678303,136.56,272.2,135.64,50.16899339,156
70_02_A_250702134813DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,433.68,126,114.56,93,31.4,20,13.16,17,6264.754478,5519.442049,10.55383167,15.51974482,355.64,593.6,237.96,59.91239892,832.1762673,802.4584441,17.7209597,20.7246499,38.72,46.96,8.24,82.45315162,64,3928.304151,3292.354447,8.826856352,13.69759713,240.36,445.04,204.68,54.00862844,139,1907.155045,1435.802588,6.964486724,11.62781494,123.48,273.84,150.36,45.09202454,175
69_01_A_250702134739DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,448.24,135,123.2,122,14.2,7,7.56,11,8486.147137,8034.10658,14.28644299,17.9573236,447.4,594,146.6,75.31986532,1168.864516,1157.424904,24.49422707,26.20980307,44.16,47.72,3.56,92.53981559,118,4993.029076,4603.218864,11.72953645,15.32771332,300.32,425.68,125.36,70.55064837,220,2112.858064,1861.971788,8.997011004,12.45632719,149.48,234.84,85.36,63.65184807,226
68_04_A_250702132841DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,443.56,115.5,108.28,92.5,23,11,17.72,24,6315.421441,5627.890545,10.64349036,16.60340614,338.96,593.36,254.4,57.12552245,665.7838858,642.2553783,17.44716682,21.32321973,30.12,38.16,8.04,78.93081761,68,4001.424697,3412.702985,8.974218842,15.12454788,225.64,445.88,220.24,50.60554409,166,1857.23233,1451.482194,6.770313246,12.50415398,116.08,274.32,158.24,42.31554389,197
67_03_A_250702132811DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,433.64,134.5,128.96,104.5,11.04,9,18.76,26,7081.99723,6422.52515,11.93863323,16.72358387,384.04,593.2,209.16,64.7403911,847.2906843,809.6684486,16.83805017,21.44249069,37.76,50.32,12.56,75.03974563,76,4602.231782,4067.111889,10.57012352,15.19166252,267.72,435.4,167.68,61.48828663,152,1972.478257,1634.890506,8.386387147,12.50681232,130.72,235.2,104.48,55.57823129,224
66_02_A_250702132754DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,459.48,95,108.04,78,10.04,8,14.96,22,6657.296018,6018.65246,11.22041397,15.29440044,393.52,593.32,199.8,66.32508596,923.7143302,895.1208898,15.82786721,17.77444182,50.36,58.36,8,86.29198081,94,4193.524569,3653.995255,9.766009708,14.24448486,256.52,429.4,172.88,59.73917094,130,1702.339512,1358.935081,7.704288162,11.54771483,117.68,220.96,103.28,53.25850833,192
65_01_A_250702132732DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,448.68,133,115.8,117,20.36,13,8.04,18,7264.352359,6593.732357,12.23614129,17.85371049,369.32,593.68,224.36,62.20859722,1044.67798,1035.566975,28.66844073,30.60186096,33.84,36.44,2.6,92.86498353,84,4611.182484,3998.00822,9.801850361,15.05727712,265.52,470.44,204.92,56.44077885,168,2146.921429,1727.20541,7.662103602,12.2601179,140.88,280.2,139.32,50.27837259,206
64_04_A_250702130617DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,454.64,116,110.44,90,12.44,8,15.12,22,6493.196549,5776.32224,10.94162266,15.5494838,371.48,593.44,221.96,62.59773524,987.2826467,973.6485203,18.85566552,20.61067994,47.24,52.36,5.12,90.22154316,90,3779.649662,3165.030456,8.967565867,13.64002093,232.04,421.48,189.44,55.05362058,158,1865.430437,1413.31191,7.095049586,11.27402609,125.36,262.92,137.56,47.67990263,166
63_03_A_250702130554DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,465,121.5,84.32,76,16.44,18.5,26.96,37,6218.022601,5523.926262,10.47651739,15.6237308,353.56,593.52,239.96,59.57002291,766.078132,719.5883557,15.04473943,19.74721064,36.44,50.92,14.48,71.56323645,74,3656.614662,3169.649142,9.345263396,14.22643242,222.8,391.28,168.48,56.94132079,162,1899.789818,1549.066241,7.683990525,12.47637114,124.16,247.24,123.08,50.21841126,181
62_02_A_250702130529DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,459.72,101,110.2,82,10.16,7,12.64,21,6102.865565,5421.795415,10.28249354,15.94458127,340.04,593.52,253.48,57.29208788,637.3598882,577.0113243,10.2799982,17.50641154,32.96,62,29.04,53.16129032,54,4117.341594,3603.921815,10.02664522,15.03889925,239.64,410.64,171,58.35768556,137,1896.119846,1508.348943,7.485077552,12.05136579,125.16,253.32,128.16,49.40786357,176
61_01_A_250702130509DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,467.68,123,95.88,101,14.72,10,14.6,27,8625.139054,8073.547182,14.52826279,18.86342799,428,593.68,165.68,72.09270988,1264.901381,1244.447087,20.28385794,21.98669765,56.6,62.36,5.76,90.76330981,128,5085.329098,4588.071126,12.19269468,17.21731884,266.48,417.08,150.6,63.89181932,214,2307.704858,1918.02952,8.822850811,13.4958452,142.12,261.56,119.44,54.33552531,263
60_04_A_250702124506DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,448.48,115,122.6,91,9.48,6,12.48,26,6541.19291,5779.67694,11.0150763,17.09761253,338.04,593.84,255.8,56.92442409,784.2966876,764.236536,18.96268587,21.58860271,35.4,41.36,5.96,85.58994197,74,4270.612267,3616.126179,9.540282967,15.46939673,233.76,447.64,213.88,52.22053436,140,1875.97214,1432.819934,7.122141761,12.37322914,115.8,263.4,147.6,43.96355353,185
59_03_A_250702124440DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,432.68,128.5,116,89,15.16,12,28.96,33.5,8024.510531,7438.646316,13.51838027,18.82248562,395.2,593.6,198.4,66.57681941,1016.186979,983.1496863,17.90322373,22.63235926,43.44,56.76,13.32,76.53276956,89,4993.408181,4547.801216,12.07303719,17.25527856,263.56,413.6,150.04,63.72340426,163,2111.696195,1771.157687,8.434638898,13.53682121,130.84,250.36,119.52,52.26074453,231
58_02_A_250702124408DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,462.76,104.5,103.56,89.5,18.8,10,7.08,10,6495.459798,5798.094168,10.95355784,15.72492452,368.72,593,224.28,62.17875211,667.2114375,627.3438285,13.76261216,19.0566169,32.92,48.48,15.56,67.90429043,66,4378.209926,3844.554321,10.33766983,14.83925552,259.08,423.52,164.44,61.17302607,129,2157.329228,1715.100187,7.675143118,11.70557048,146.52,281.08,134.56,52.12750818,207
57_01_A_250702124330DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,436.28,116.5,121.24,93.5,17.92,8,16.76,21,6065.735742,5340.655316,10.2288967,15.59224371,342.52,593,250.48,57.76053963,819.564558,775.5264929,16.40441469,20.75820377,37.36,49.96,12.6,74.77982386,78,3829.494333,3213.855001,8.557911712,13.81233884,232.68,447.48,214.8,51.99785465,148,1957.230353,1497.358844,6.6708601,11.44769759,130.8,293.4,162.6,44.5807771,155
56_04_A_250702122243DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,465.6,122.5,98.52,100.5,20.16,14,8.76,15,6060.017811,5325.530853,10.20479895,15.56626579,342.12,593.84,251.72,57.61147784,723.5547224,703.7566793,17.5110049,22.81960698,30.84,41.32,10.48,74.63697967,80,3816.054551,3237.332177,9.054799144,14.13682173,229,421.44,192.44,54.33750949,152,1806.27351,1392.91393,7.186002186,12.13762574,114.76,251.36,136.6,45.65563335,169
55_03_A_250702122215DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,467,115,103.44,94,8.32,8,14.36,29,7115.501186,6448.237498,11.98057177,17.03179476,378.6,593.92,215.32,63.74595905,1072.493086,1045.480711,18.45308131,20.7766437,50.32,58.12,7.8,86.57949071,105,4265.03113,3701.287694,10.03064706,15.29710569,241.96,425.2,183.24,56.90498589,143,1888.747534,1463.218987,7.226612849,12.52755982,116.8,261.36,144.56,44.68931742,195
54_02_A_250702122145DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,435.8,126,144.96,119,10.68,8,0.96,3,7876.36896,7304.356709,13.27776291,17.51476287,417.04,593.2,176.16,70.30343898,660.4845485,656.3753151,24.00016528,25.63966075,25.6,27.52,1.92,93.02325581,60,5772.067374,5230.22264,11.68056373,15.84723864,330.04,494.16,164.12,66.78808483,134,2493.487471,2122.515949,8.932108723,12.41527813,170.96,279.16,108.2,61.24086545,243
53_01_A_250702122108DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,464.16,105,95.64,84,17.32,13,15.76,23,5668.984669,4926.590165,9.548889416,14.07114751,350.12,593.68,243.56,58.97453173,568.2413745,544.5603869,14.4664301,16.86990046,32.28,39.28,7,82.17922607,62,3349.659471,2785.812503,8.403561142,13.02511924,213.88,398.6,184.72,53.65780231,179,1578.503275,1209.127168,6.855903729,11.29603109,107.04,230.24,123.2,46.49061849,154
52_04_A_250702120127DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,425.12,132,134.76,116,28.2,13,4.8,12,5728.019854,5033.445185,9.64832882,14.37798556,350.08,593.68,243.6,58.9677941,566.5587141,535.3327836,13.60611705,16.62524173,32.2,41.64,9.44,77.32949087,56,3957.368962,3354.183233,8.608964849,13.59730514,246.68,459.68,213,53.66341803,132,1779.914401,1386.093962,6.8967545,11.57393088,119.76,258.08,138.32,46.40421575,166
51_03_A_250702120109DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,414.6,129.5,141.72,109.5,25.96,17,10.44,11,8615.118899,8030.579882,14.5152967,20.61660475,389.52,593.52,204,65.62879094,956.4574848,947.6499879,30.03949387,32.72272058,28.96,31.84,2.88,90.95477387,92,5590.734095,5051.084866,11.91342928,17.67349498,285.8,469.28,183.48,60.90180702,194,2465.486259,2087.824581,8.665423376,13.92997452,149.88,284.52,134.64,52.67819485,256
50_02_A_250702115848DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,462,111,103.04,92,15.44,12,12.08,20,6604.476337,5921.381815,11.13063964,15.73998356,376.2,593.36,217.16,63.40164487,735.3344958,716.3053027,17.34279471,19.44368357,36.84,42.4,5.56,86.88679245,64,4248.370099,3680.206408,9.771759358,14.29317387,257.48,434.76,177.28,59.22347962,176,1981.691312,1569.856935,7.660782867,11.94352507,131.44,258.68,127.24,50.81181382,202
49_01_A_250702115805DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,451.4,129.5,105.04,91,19,13.5,17.84,26,7844.078743,7254.060264,13.20374149,18.05570555,401.76,594.08,192.32,67.62725559,1039.915718,1017.075932,18.67664723,21.33129052,47.68,55.68,8,85.63218391,86,5060.311942,4573.752406,11.86641015,16.98511737,269.28,426.44,157.16,63.14604634,157,2175.250006,1801.703054,8.491762986,13.34990407,134.96,256.16,121.2,52.68582136,236
48_04_A_250702113640DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,462.84,116,98.36,79,11.88,12,19.64,28,6994.633405,6387.149338,11.78500034,16.3137243,391.52,593.52,202,65.96576358,1160.230455,1108.348484,15.38767182,19.4310744,57.04,75.4,18.36,75.64986737,108,3823.706324,3331.383631,9.658750945,14.34704406,232.2,395.88,163.68,58.65413762,189,1860.390523,1510.36685,7.777552355,11.87395323,127.2,239.2,112,53.17725753,195
47_03_A_250702113604DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,454.52,118.5,95.88,90,23.88,9,18.88,30.5,6026.323473,5227.956408,10.14600895,16.21977044,322.32,593.96,271.64,54.26628056,536.0907934,490.7020059,12.45564111,17.80486233,27.56,43.04,15.48,64.03345725,58,3907.819412,3247.630496,8.863680393,14.95225827,217.2,440.88,223.68,49.26510615,132,1889.774491,1436.581342,7.071450722,12.24915878,117.28,267.24,149.96,43.88564586,180
46_02_A_250702113540DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,451.44,106,125.32,96,7.48,6,8.08,14,6961.683523,6314.722581,11.73739466,16.70384769,378.04,593.12,215.08,63.7375236,1165.754118,1130.422418,17.11324308,19.66636078,57.48,68.12,10.64,84.38050499,100,3965.230719,3400.903272,9.362558364,14.47192882,235,423.52,188.52,55.48734416,162,1837.310348,1433.885866,7.182604956,12.22617553,117.28,255.8,138.52,45.848319,179
45_01_A_250702113513DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,445.56,98.5,128.4,94.5,17.84,13,0.56,3,6652.01213,6053.71978,11.21453255,15.65077502,386.8,593.16,206.36,65.21006137,996.0006204,974.2940282,18.51302268,21.10688969,46.16,53.8,7.64,85.79925651,88,3751.417056,3253.535558,9.173963259,13.46439148,241.64,408.92,167.28,59.09224298,175,1743.52452,1423.348215,7.720175876,11.9649312,118.96,225.84,106.88,52.67445979,172
44_04_A_250702111227DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,439.88,128,121.8,98,8.36,10,22.96,33,6236.931445,5544.130078,10.50342109,14.83022169,373.84,593.8,219.96,62.95722465,782.7804319,752.8465849,14.83662684,17.87385054,42.12,52.76,10.64,79.83320697,74,3881.15099,3308.6567,9.194425732,13.78606958,240,422.12,182.12,56.85587037,141,1735.278461,1363.444951,7.281295993,11.25697615,121.12,238.32,117.2,50.82242363,180
43_03_A_250702111206DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,487.64,95,67.84,70,31.68,17,5.4,9,6129.783229,5469.699103,10.33063103,18.56400727,294.64,593.36,298.72,49.65619523,760.1788421,717.1531944,15.7975653,23.90510648,30,48.12,18.12,62.34413965,68,3962.726449,3485.818456,10.5034098,16.85598867,206.8,377.28,170.48,54.81340119,122,1750.980042,1475.651713,8.942696845,14.9964605,98.4,195.8,97.4,50.25536261,171
42_02_A_250702111108DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,428.64,115,118.04,83,33.52,21,12,21,6024.625835,5240.818377,10.15957139,15.95864305,328.4,593,264.6,55.37942664,756.5554388,704.3477963,13.29155725,18.41913693,38.24,56.92,18.68,67.18200984,58,3914.895899,3258.603678,8.796728157,14.62306443,222.84,445.04,222.2,50.07190365,132,1733.471586,1336.742895,7.147746932,12.06446657,110.8,242.52,131.72,45.68695365,183
41_01_A_250702111047DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,451.72,121,113.28,98,13.28,13,14.52,23,6904.594382,6309.463011,11.63172908,15.90888303,396.6,593.6,197,66.81266846,946.1304167,927.8569376,17.07816637,19.74163697,47,55.4,8.4,84.83754513,76,4190.011349,3655.074737,9.663310308,14.177947,257.8,433.6,175.8,59.45571956,175,1952.606672,1565.530048,7.360549879,11.66564864,134.2,265.28,131.08,50.5880579,202
40_04_A_250702104942DLC_resnet50_OFFICIALOFTNETWORK041121Nov4shuffle1_1030000.csv,448.2,134,99.2,97,9.36,15,35.6,37,6907.48648,6240.873972,11.64523312,16.80364559,371.4,593.16,221.76,62.61379729,960.3702425,929.6169337,17.32269557,20.2442712,45.92,55.44,9.52,82.82828283,90,4148.412649,3624.829621,10.21374003,15.21758867,238.2,406.16,167.96,58.64683868,158,1982.000723,1654.831544,8.905466945,13.93894495,118.72,222.56,103.84,53.34291876,203
